,sample_id,experiment_id,yml_file,data_file
0,RxnA_20190329_1553910652,RxnA_20190329,RxnA_20190329_0_xrsd_system.yml,RxnA_20190329_0_dz_bgsub.dat
1,RxnA_20190329_1553941420,RxnA_20190329,RxnA_20190329_7_xrsd_system.yml,RxnA_20190329_7_dz_bgsub.dat
2,RxnA_20190329_1553957565,RxnA_20190329,RxnA_20190329_10_xrsd_system.yml,RxnA_20190329_10_dz_bgsub.dat
3,RxnA_20190329_1553946716,RxnA_20190329,RxnA_20190329_8_xrsd_system.yml,RxnA_20190329_8_dz_bgsub.dat
4,RxnA_20190329_1553935658,RxnA_20190329,RxnA_20190329_6_xrsd_system.yml,RxnA_20190329_6_dz_bgsub.dat
5,RxnA_20190329_1553951254,RxnA_20190329,RxnA_20190329_9_xrsd_system.yml,RxnA_20190329_9_dz_bgsub.dat
6,RxnA_20190329_1553964522,RxnA_20190329,RxnA_20190329_11_xrsd_system.yml,RxnA_20190329_11_dz_bgsub.dat
7,RxnA_20190329_1553914977,RxnA_20190329,RxnA_20190329_1_xrsd_system.yml,RxnA_20190329_1_dz_bgsub.dat
8,RxnA_20190329_1553927416,RxnA_20190329,RxnA_20190329_4_xrsd_system.yml,RxnA_20190329_4_dz_bgsub.dat
9,RxnA_20190329_1553975313,RxnA_20190329,RxnA_20190329_13_xrsd_system.yml,RxnA_20190329_13_dz_bgsub.dat
10,RxnA_20190329_1553980333,RxnA_20190329,RxnA_20190329_14_xrsd_system.yml,RxnA_20190329_14_dz_bgsub.dat
11,RxnA_20190329_1553924441,RxnA_20190329,RxnA_20190329_3_xrsd_system.yml,RxnA_20190329_3_dz_bgsub.dat
12,RxnA_20190329_1553983571,RxnA_20190329,RxnA_20190329_15_xrsd_system.yml,RxnA_20190329_15_dz_bgsub.dat
13,RxnA_20190329_1553920203,RxnA_20190329,RxnA_20190329_2_xrsd_system.yml,RxnA_20190329_2_dz_bgsub.dat
14,RxnA_20190329_1553931522,RxnA_20190329,RxnA_20190329_5_xrsd_system.yml,RxnA_20190329_5_dz_bgsub.dat
15,RxnA_20190329_1553970200,RxnA_20190329,RxnA_20190329_12_xrsd_system.yml,RxnA_20190329_12_dz_bgsub.dat
16,RxnD_201902_1549740122,RxnD_201902,RxnD_201902_21_xrsd_system.yml,RxnD_201902_21_dz_bgsub.dat
17,RxnD_201902_1549712274,RxnD_201902,RxnD_201902_13_xrsd_system.yml,RxnD_201902_13_dz_bgsub.dat
